date,US_cases,NY_cases,NJ_cases,Cali_cases,Texas_cases,Florida_cases,case_sum,ny_nj,tx_flo_cali,half_US
3/11/2020,1263,217,23,202,33,26,501,240,261,631.5
3/13/2020,2224,421,50,320,58,70,919,471,448,1112
3/15/2020,3600,732,98,478,80,109,1497,830,667,1800
3/17/2020,5906,1375,268,732,106,210,2691,1643,1048,2953
3/19/2020,12393,4161,735,1067,248,434,6645,4896,1749,6196.5
3/21/2020,24528,10371,1336,1544,547,764,14562,11707,2855,12264
3/23/2020,43505,20899,2844,2240,728,1222,27933,23743,4190,21752.5
3/25/2020,68572,33117,4402,3183,1132,1971,43805,37519,6286,34286
3/27/2020,102900,44746,8825,4915,1971,3198,63655,53571,10084,51450
3/29/2020,142486,59783,13386,6321,2722,4943,87155,73169,13986,71243
3/31/2020,188461,76211,18696,8583,3588,6742,113820,94907,18913,94230.5
4/2/2020,245108,93360,25590,11190,4952,9000,144092,118950,25142,122554
4/4/2020,312525,115963,34124,13796,6566,11537,181986,150087,31899,156262.5
4/6/2020,369056,133389,41090,16361,8150,13621,212611,174479,38132,184528
4/8/2020,431213,151271,47437,19043,9897,15690,243338,198708,44630,215606.5
4/10/2020,499381,172830,54588,21366,12291,17960,279035,227418,51617,249690.5
4/12/2020,558249,191425,61850,23323,13776,19855,310229,253275,56954,279124.5
4/14/2020,610709,205375,68824,25758,15303,21620,336880,274199,62681,305354.5
4/16/2020,672355,225761,75317,28142,16928,23332,369480,301078,68402,336177.5
4/18/2020,732262,240542,81420,30829,18927,25484,397202,321962,75240,366131
4/20/2020,784926,251608,88806,33862,20035,27050,421361,340414,80947,392463
4/22/2020,839266,261591,95865,37573,21769,28301,445099,357456,87643,419633
4/24/2020,909777,276218,102196,41368,23650,30525,473957,378414,95543,454888.5
4/26/2020,970919,292914,109038,43691,25209,31520,502372,401952,100420,485459.5
4/28/2020,1018741,300276,113856,46570,26868,32838,520408,414132,106276,509370.5
4/30/2020,1075637,309696,118652,50470,29072,33683,541573,428348,113225,537818.5
5/2/2020,1139075,318134,123717,53753,31433,35455,562492,441851,120641,569537.5
5/4/2020,1187176,324357,128269,56333,33134,36889,578982,452626,126356,593588
5/6/2020,1235366,329405,131890,60787,35441,37994,595517,461295,134222,617683
5/8/2020,1291482,335804,135454,64616,37943,39191,613008,471258,141750,645741
5/10/2020,1336668,340657,138532,68051,40037,40588,627865,479189,148676,668334
5/12/2020,1376585,343705,140743,71150,42348,41915,639861,484448,155413,688292.5
5/14/2020,1424687,348192,142704,74947,45169,43202,654214,490896,163318,712343.5
5/16/2020,1474569,353136,145089,78933,47866,44803,669827,498225,171602,737284.5
5/18/2020,1515403,356278,148039,81943,49788,46434,682482,504317,178165,757701.5
5/20/2020,1559435,359235,150399,86125,52369,47463,695591,509634,185957,779717.5
5/22/2020,1608961,362991,152719,90801,54369,49443,710323,515710,194613,804480.5
5/24/2020,1651260,366346,154154,94743,56050,50859,722152,520500,201652,825630
5/26/2020,1689248,368669,155764,99924,57573,52247,734177,524433,209744,844624
5/28/2020,1730457,371559,157815,104071,60820,53277,747542,529374,218168,865228.5
5/30/2020,1778401,374471,159608,110100,63396,55416,762991,534079,228912,889200.5
6/1/2020,1820929,376520,160918,115643,66081,56822,775984,537438,238546,910464.5
6/3/2020,1861694,378924,162068,120407,69546,58756,789701,540992,248709,930847
6/5/2020,1912001,381019,163336,126510,73323,61480,805668,544355,261313,956000.5
6/7/2020,1953138,382879,164164,131997,75948,63930,818918,547043,271875,976569
6/9/2020,1990137,384281,164796,137245,79271,65992,831585,549077,282508,995068.5
6/11/2020,2036496,385669,165816,143709,83772,69061,848027,551485,296542,1018248
6/13/2020,2087327,387402,166605,150434,88120,73544,866105,554007,312098,1043663.5
6/15/2020,2126570,388719,167103,155662,91726,77318,880528,555822,324706,1063285
6/17/2020,2177104,389910,167703,163381,99466,82711,903171,557613,345558,1088552
6/19/2020,2235995,391330,168496,170843,107322,89740,927731,559826,367905,1117997.5
6/21/2020,2294413,392702,169142,178807,114886,97283,952820,561844,390976,1147206.5
6/23/2020,2359899,393855,169734,191039,124726,103495,982849,563589,419260,1179949.5
6/25/2020,2438069,395168,172050,201413,136783,114010,1019424,567218,452206,1219034.5
6/27/2020,2525920,396669,172727,211453,148639,132537,1062025,569396,492629,1262960
6/29/2020,2604906,397684,173126,223995,158756,146333,1099894,570810,529084,1302453
7/1/2020,2703212,398770,173782,239764,174826,158989,1146131,572552,573579,1351606
7/3/2020,2815374,400561,174598,256298,189418,178586,1199461,575159,624302,1407687
7/5/2020,2910780,401822,175258,271587,200137,200103,1248907,577080,671827,1455390
7/7/2020,3012210,402928,175734,287766,219164,213786,1299378,578662,720716,1506105
7/9/2020,3131549,404207,176217,303516,240025,232710,1356675,580424,776251,1565774.5
7/11/2020,3260565,405724,176906,320030,258280,254503,1415443,582630,832813,1630282.5
7/13/2020,3379859,406962,177469,336206,273732,282427,1476796,584431,892365,1689929.5
7/15/2020,3512791,408709,178252,355497,295423,301802,1539683,586961,952722,1756395.5
